runtime,release_year,actor_name_score,studio_score,crew_member_score,target,season_autumn,season_spring,season_summer,season_winter
162.0,2009,1579.164753113613,1675.3813612364493,6633.545817865268,1,0,0,0,1
169.0,2007,2026.4480541295543,726.1442739933639,3253.2112589259073,1,0,1,0,0
148.0,2015,1547.0137554801183,1102.1217510767638,6859.013396526148,1,1,0,0,0
165.0,2012,5188.166899003739,2155.5328793416375,10077.1257697992,1,0,0,1,0
132.0,2012,1336.034035970318,574.9987272301856,5118.766659318003,1,0,1,0,0
139.0,2007,3603.5976907304976,1158.8809426446576,3336.5435325570293,0,0,1,0,0
100.0,2010,548.5184747381427,607.6943223358076,1403.3825102892201,1,0,0,0,1
141.0,2015,3169.4420280030854,185.55022099236362,4803.724618914532,1,0,1,0,0
153.0,2009,2143.1471295710844,1837.1633583477058,1092.5743123531784,1,0,0,1,0
151.0,2016,3423.4288821018913,2154.0214786872302,5211.644888524453,0,0,1,0,0
154.0,2006,807.2711487360006,2178.7465356029675,1671.1525328999537,0,0,0,1,0
106.0,2008,1222.8120960859271,162.43185784382845,1548.396039785824,1,1,0,0,0
151.0,2006,1934.9482577528674,726.1442739933639,2791.02969872349,1,0,0,1,0
149.0,2013,1916.8238009876682,745.6085971347281,3604.647025587035,0,0,0,1,0
143.0,2013,1909.3716404287984,2189.850919456798,3640.901910279798,1,0,0,1,0
150.0,2008,789.5104600017796,307.05424795399836,3515.165382254164,1,0,1,0,0
143.0,2012,3099.712740313351,1494.7217958117294,7019.4686958707125,1,0,1,0,0
136.0,2011,1599.339078161344,793.4809805661693,3819.407468934527,1,0,1,0,0
106.0,2012,1143.1594365284247,424.3994806550599,2157.392269171602,1,0,1,0,0
144.0,2014,1972.2027432429084,1300.4845845000664,4877.123551642239,1,0,0,0,1
136.0,2012,1648.8311505314443,1112.4766359231694,6459.242061708966,1,0,0,1,0
140.0,2010,1795.7870643172898,2267.4077230273097,2150.155720447242,1,0,1,0,0
161.0,2013,1486.6335568441286,1293.457238867253,4192.4521658202675,1,0,0,0,1
113.0,2007,1406.771036806571,812.9703216795766,2153.836454084898,0,0,0,0,1
187.0,2005,1233.9495344591935,1538.878087671226,2936.5881786602536,1,0,0,0,1
194.0,1997,2577.8904347031585,2642.5798163248196,3528.057890040086,1,0,0,0,1
147.0,2016,2745.4848680570317,263.12783421427093,5054.266031408633,1,0,1,0,0
131.0,2012,1398.0996778293631,1515.7124223522153,5275.017354971367,0,0,1,0,0
124.0,2015,945.6133236848057,611.4171982186388,10169.674162061114,1,0,0,1,0
143.0,2012,1045.9863578569611,1038.3712028795953,2484.8813888889313,1,1,0,0,0
127.0,2004,3059.199827714486,1158.8809426446576,5108.5731548031445,1,0,0,1,0
130.0,2013,2719.587672637788,74.1760466947321,2315.5784258350063,1,0,1,0,0
108.0,2010,1796.5629072445597,753.4394168539528,1947.0662922175272,1,0,1,0,0
104.0,2006,2032.2650580697552,1947.6731504789072,3406.5364421646486,0,0,1,0,0
104.0,2013,1577.6279553566758,651.5922357182508,479.13328391223405,1,0,0,1,0
150.0,2009,1852.8993869620163,2426.7178198907154,4743.871262554148,0,0,0,1,0
165.0,2014,1690.673018195109,1991.1328583905301,5339.270681872137,0,0,0,1,0
130.0,2013,1891.3070304093378,645.7979701694459,1678.8929220854566,0,0,1,0,0
142.0,2014,2252.667193657125,1143.8421450276874,4948.9249146739485,1,0,1,0,0
125.0,2010,869.3670549152798,749.568741472446,1174.0497689808383,1,0,0,0,1
106.0,2011,2412.5515293212347,651.5922357182508,1297.143830672981,0,0,0,1,0
114.0,2011,1239.0083108169574,1946.6615205779992,2538.772394304499,0,0,0,1,0
103.0,2010,2183.3516555802134,651.5922357182508,1318.513261830239,1,0,0,1,0
115.0,2009,973.5887160233405,2865.3349902791642,3251.3212548186575,0,0,1,0,0
137.0,2015,1503.6504718525205,1702.6249455824614,3277.624169081174,1,0,1,0,0
116.0,2013,858.8964510318963,1629.9345042704454,2027.4720181191808,1,0,0,1,0
131.0,2014,2267.7928473984307,1670.3277782438754,5653.923506862249,1,0,1,0,0
132.0,2013,2226.8867992706705,1570.079723319318,4062.262780050261,1,0,1,0,0
114.0,2013,1229.9501515128325,2826.487334031154,2934.2191080495654,0,0,0,0,1
143.0,2013,835.7896189523804,2206.05890262877,988.9706984677819,1,0,1,0,0
116.0,2010,831.4180805029308,712.0895827277368,3446.074463116886,1,0,1,0,0
131.0,2013,1098.760049574096,2010.9338177469667,1807.3632317605993,1,0,0,1,0
154.0,2011,2266.913291232877,1557.82627089403,3188.5660770588506,0,0,0,1,0
122.0,2008,1566.392261111238,1514.5191005638562,2590.0153532219674,0,0,1,0,0
93.0,2015,791.100099772683,651.5922357182508,484.5177503247339,1,0,0,0,1
93.0,2012,800.0265369817074,651.5922357182508,1924.837197231969,1,0,0,1,0
122.0,2016,1182.4697658462758,1522.2598042197064,3560.351178920669,1,0,0,1,0
98.0,2008,934.5648778529126,653.0955820493248,2106.3708844686344,1,0,0,1,0
91.0,2007,717.497802134292,600.447579566834,1180.88994630172,0,0,0,1,0
158.0,2009,1628.4012047437097,1152.6562886645702,4398.476794850861,0,1,0,0,0
96.0,2009,948.2141410391532,95.84230138955976,936.436083250654,1,0,0,0,1
124.0,2015,1498.062589822825,2430.4978191709465,4532.793964049687,0,0,0,0,1
109.0,2016,1274.4655144417704,492.6105204351496,423.6815773608521,0,0,0,1,0
143.0,2005,1248.8943937170804,138.43198706481468,1786.1806441467677,1,0,0,0,1
144.0,2016,1297.0644940033737,1550.8389618691824,4420.106826197234,1,0,1,0,0
152.0,2008,3830.821873498961,2261.02843429162,6819.403585647491,1,0,0,1,0
96.0,2009,828.4132391908728,76.59350848806508,2911.3746895051895,1,0,1,0,0
